__str__,video_type,id,title,description,access_tier,access_reason,access_expiry,length,max_resolution,season,episode_number,creation_date,update_date,live_start_date,live_end_date,is_live,is_featured,location_file,location_folder,thumbnail_image,episode_image,feature_image,available_regions,maturity_rating,is_kids,genre,lead_roles,guest_roles,directors,contract,trailer_movie,trailer_season,content_type,object_id,airtable_record,sync_status,tags,organizations,Reason for Deleting
Changing Your World with Creflo Dollar :: 2 :: How Not to be Tempted by Unbelief - Part 2a,Episode,,How Not to be Tempted by Unbelief - Part 2a,"Many contemporary Christians seem as if they do not know how to get manifestations of God’s promises. One example of a powerful manifestation is given to us in the Old Testament, when Abraham believed God despite overwhelming contradictory evidence in the natural realm. Abraham had a choice whether to focus on the physical situation or the supernatural promise; this applies to us today when we are faced with temptation. Like Abraham, we can successfully overcome
temptation when we think about what God says to us more than what the world says to us. Temptation is pressure applied to the flesh, and as long as we consider the problem, the pressure will continue. However, we cannot be tempted by something we do not think about. To consider is to deliberate, ponder, or give attention to something; temptation loses its power over us when we refuse to examine or meditate on anything contradictory to God’s Word",1_FREE,,,28:34,1080,Changing Your World with Creflo Dollar :: 2,,,,2019-01-30 00:00,,,,CDM_CD0119_30,CrefloDollar/2019.01,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recQ0Qg58ANouKK0W,DELETE,"topic:practical wisdom,genre:teaching series",Corco+,Duplicated
Changing Your World with Creflo Dollar :: 2 :: How Not to be Tempted by Unbelief - Part 2b,Episode,,How Not to be Tempted by Unbelief - Part 2b,"Many contemporary Christians seem as if they do not know how to get manifestations of God’s promises. One example of a powerful manifestation is given to us in the Old Testament, when Abraham believed God despite overwhelming contradictory evidence in the natural realm. Abraham had a choice whether to focus on the physical situation or the supernatural promise; this applies to us today when we are faced with temptation. Like Abraham, we can successfully overcome temptation when we think about what God says to us more than what the world says to us. Temptation is pressure applied to the flesh, and as long as we consider the problem, the pressure will continue. However, we cannot be tempted by something we do not think about. To consider is to deliberate, ponder, or give attention to something; temptation loses its power over us when we refuse to examine or meditate on anything contradictory to God’s Word.",1_FREE,,,28:34,1080,Changing Your World with Creflo Dollar :: 2,,,,2019-01-31 00:00,,,,CDM_CD0119_31,CrefloDollar/2019.01,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,rec3KgkV5lYv8NrZ7,DELETE,"topic:god's word,genre:teaching series",Corco+,Duplicated
Changing Your World with Creflo Dollar :: 2 :: Eradicating Sin Consciousness - Part 1,Episode,,Eradicating Sin Consciousness - Part 1,"Many Christians live a miserable life of guilt and condemnation. They do not accept God’s eternal forgiveness through Christ. They cannot even forgive themselves for their sins, and therefore they have sin consciousness (constantly reminding themselves of their wrongs). Furthermore, they believe their good deeds can make them right with God. To forgive ourselves and receive God’s forgiveness, we have to first believe that Jesus Christ has already made us right with God. Then we will be free to live a life of grace instead of living with sin consciousness.",1_FREE,,,28:34,1080,Changing Your World with Creflo Dollar :: 2,,,,2019-02-01 00:00,,,,CDM_CD0219_01,CrefloDollar/2019.02,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recYDt9NsbCtd2L3o,DELETE,"topic:forgiveness,genre:teaching series",Corco+,Duplicated
The Gaither Gospel Hour :: 1 :: Dottie Rambo,Episode,5636,Dottie Rambo,"Hundreds of Gospel music classics have been born in the heart of Dottie Rambo. Now, through this timeless special honoring the songs of Dottie Rambo, everyone can enjoy a moving compilation of unforgettable moments from the Homecoming video series.",2_PREMIUM,,,57:29,1080,The Gaither Gospel Hour :: 1,33,2019-04-05 18:35,2024-08-14 12:00,2019-11-08 00:00,2024-08-13 00:00,,,TGHH_DOTTIE_RAMBO,GaitherHomecoming,,https://images.corcoplus.com/TvShows/GaitherHomecoming/TGHH_DOTTIE_RAMBO.jpg,https://images.corcoplus.com/TvShows/GaitherHomecoming/TGHH_648x364.jpg,,,,,,,,,,,,,reck4JvxzDS3kOtql,DELETE,genre:music series,Corco+,Duplicated
The Gaither Gospel Hour :: 1 :: Best of Ivan Parker,Episode,5740,Best of Ivan Parker,"Ivan Parker is among the best-loved artists in gospel music. His contagious warmth and genuine love for gospel music gives every song he sings a unique personal touch that's all his own. Now, through this rare video experience hosted by Bill Gaither, Ivan's greatest performances from the Homecoming video series are mingled with never-before-seen footage, family photos and intimate conversations with Ivan about life, music and his enduring faith. The Best Of Ivan Parker features the songs you love to hear him sing and the reasons why he sings them, creating a keepsake that gospel music lovers will cherish for many years to come.",2_PREMIUM,,,57:30,720,The Gaither Gospel Hour :: 1,35,2019-04-16 18:42,2024-08-14 12:00,2019-11-08 00:00,2024-08-13 00:00,,,TGHH_BEST_OF_IVAN_PARKER,GaitherHomecoming,,https://images.corcoplus.com/TvShows/GaitherHomecoming/TGHH_BEST_OF_IVAN_PARKER.jpg,https://images.corcoplus.com/TvShows/GaitherHomecoming/TGHH_648x364.jpg,,,,,,,,,,,,,recy7UTyStgtYQK4t,DELETE,genre:music series,Corco+,Duplicated
The Gaither Gospel Hour :: 1 :: Steven Curtis Chapman: A Great Adventure,Episode,6124,Steven Curtis Chapman: A Great Adventure,"One of the most awarded and admired artists in Christian music history, Steven Curtis Chapman’s life story has truly been a great adventure. His latest DVD recording, filmed at Gaither Studios, chronicles his life in song through LIVE, acoustic performances. Along with his college sweetheart and wife, Mary Beth, Steven sits down with Bill Gaither to share The Chapmans’ journey of love, heartbreak and triumph while celebrating his early hits and career masterpieces along with gospel classics.",2_PREMIUM,,,57:30,720,The Gaither Gospel Hour :: 1,40,2019-05-16 12:00,2024-08-14 12:00,2020-03-27 00:00,2024-08-13 00:00,,,TGHH_STEVEN_CURTIS_CHAPMAN,GaitherHomecoming,,https://images.corcoplus.com/TvShows/GaitherHomecoming/TGHH_STEVEN_CURTIS_CHAPMAN.jpg,https://images.corcoplus.com/TvShows/GaitherHomecoming/TGHH_648x364.jpg,,,,,,,,,,,,,recPwSHSvk6H4lhPb,DELETE,genre:music series,Corco+,Duplicated
Changing Your World with Creflo Dollar :: 2 :: How to Get Manifestation - Part 1a,Episode,,How to Get Manifestation - Part 1a,"Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:31,1080,Changing Your World with Creflo Dollar :: 2,,,,2019-11-03 00:00,,,,CDM_CW1119_03,CrefloDollar/2019.11,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recjg3mABSxeFSg4Y,DELETE,"topic:prayer,genre:teaching series",Corco+,Duplicated
The Gaither Gospel Hour :: 1 :: Gaither Vocal Band: Reunion Live,Episode,8017,Gaither Vocal Band: Reunion Live,"History was made when over 20 members, past and present, of the GRAMMY® Award-winning Gaither Vocal Band gathered on one stage for the first-ever LIVE concert reunion. Bill Gaither, Mark Lowry, Guy Penrod, Gary McSpadden, David Phelps, Russ Taff, Marshall Hall and more combined their talents as never before during a two-day event of song, inspiration and laughter. Now you can join the audience and experience unprecedented performances of many of your favorite hits from this legendary group.",2_PREMIUM,,,57:30,1080,The Gaither Gospel Hour :: 1,49,2019-10-31 14:54,2025-04-29 12:02,2020-01-17 00:00,2025-04-23 08:51,,,TGHH_GVB_REUNION_VOL_1,GaitherHomecoming,,https://images.corcoplus.com/TvShows/GaitherHomecoming/TGHH_GVB_REUNION_VOL_1.jpg,https://images.corcoplus.com/TvShows/GaitherHomecoming/TGHH_648x364.jpg,,,,,,,,,,,,,reczSw7QjcNQcGFCn,DELETE,genre:music series,Corco+,Duplicated
Changing Your World with Creflo Dollar :: 2 :: How to Get Manifestation - Part 1,Episode,,How to Get Manifestation - Part 1,"Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:31,1080,Changing Your World with Creflo Dollar :: 2,,,,2019-11-10 00:00,,,,CDM_CW1119_10,CrefloDollar/2019.11,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recstnts4XqUCUWCD,DELETE,"topic:prayer,genre:teaching series",Corco+,Duplicated
Joyce Meyer Ministries - Enjoying Everyday Life :: 3 :: The Great Exchange - Part 1,Episode,,The Great Exchange - Part 1,"Ever worried you're not doing enough for God? Learn how to let go of every ounce of anxiety, and be reassured of His love for you.",2_PREMIUM,,,28:31,1080,Joyce Meyer Ministries - Enjoying Everyday Life :: 3,,,,,,,,JMMEEL_1367_CAN_1_11252019cc_Legalized,JoyceMeyer/2019.11,,,https://images.corcoplus.com/TvShows/JoyceMeyer/JMMEEL_648x364.jpg,,,,,,,,,,,,,recwyv5bTa1oIWSKL,DELETE,genre:teaching series,Corco+,Duplicated
Joyce Meyer Ministries - Enjoying Everyday Life :: 3 :: The Great Exchange - Part 2,Episode,,The Great Exchange - Part 2,God has NOT given up on you! Be encouraged to exchange guilt and condemnation for the truth that God loves you!,2_PREMIUM,,,28:31,1080,Joyce Meyer Ministries - Enjoying Everyday Life :: 3,,,,,,,,JMMEEL_1367_CAN_2_11262019cc_Legalized,JoyceMeyer/2019.11,,,https://images.corcoplus.com/TvShows/JoyceMeyer/JMMEEL_648x364.jpg,,,,,,,,,,,,,recWWk9WWu6iI3efc,DELETE,genre:teaching series,Corco+,Duplicated
"Changing Your World with Creflo Dollar :: 3 :: February 16, 2020: The Contrast - Identity vs. Performance Part 1a",Episode,,"February 16, 2020: The Contrast - Identity vs. Performance Part 1a","Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:34,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-02-16 00:00,,,,CDM_CW0220_16,CrefloDollar/2020/2020.02,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recOMysOaJo0KhUcr,DELETE,"topic:practical wisdom,genre:teaching series",Corco+,Duplicated
"Changing Your World with Creflo Dollar :: 3 :: February 23, 2020: The Contrast - Identity vs. Performance Part 1b",Episode,,"February 23, 2020: The Contrast - Identity vs. Performance Part 1b","Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:32,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-02-23 00:00,,,,CDM_CW0220_23,CrefloDollar/2020/2020.02,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recN7JimWDEVZmol5,DELETE,"topic:practical wisdom,genre:teaching series",Corco+,Duplicated
"Joyce Meyer Ministries - Enjoying Everyday Life :: 4 :: February 25, 2020: Jimmy Evans",Episode,,"February 25, 2020: Jimmy Evans",,2_PREMIUM,,,28:30,1080,Joyce Meyer Ministries - Enjoying Everyday Life :: 4,,,,,,,,JMMEEL_1380_CAN_2_02252020cc_Legalized,JoyceMeyer/2020/2020.02,,,https://images.corcoplus.com/TvShows/JoyceMeyer/JMMEEL_648x364.jpg,,,,,,,,,,,,,rec4Q2v9fAWA9S3O9,DELETE,genre:teaching series,Corco+,Duplicated
"Joyce Meyer Ministries - Enjoying Everyday Life :: 4 :: February 26, 2020: Jennie Allen - Spiritual Warfare",Episode,,"February 26, 2020: Jennie Allen - Spiritual Warfare",,2_PREMIUM,,,28:30,1080,Joyce Meyer Ministries - Enjoying Everyday Life :: 4,,,,,,,,JMMEEL_1380_CAN_3_02262020cc_Legalized,JoyceMeyer/2020/2020.02,,,https://images.corcoplus.com/TvShows/JoyceMeyer/JMMEEL_648x364.jpg,,,,,,,,,,,,,receXuDJrW0MlFQAE,DELETE,genre:teaching series,Corco+,Duplicated
"Changing Your World with Creflo Dollar :: 3 :: March 1, 2020: Unfiltered Men's Panel - Part 1",Episode,,"March 1, 2020: Unfiltered Men's Panel - Part 1","Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:32,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-03-01 00:00,,,,CDM_CW0320_01,CrefloDollar/2020/2020.03,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,reclmpuJfYRmPKsG8,DELETE,genre:teaching series,Corco+,Duplicated
"Changing Your World with Creflo Dollar :: 3 :: March 8, 2020: 2019 Unfiltered Men's Panel - Part 2",Episode,,"March 8, 2020: 2019 Unfiltered Men's Panel - Part 2","Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:34,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-03-08 00:00,,,,CDM_CW0320_08,CrefloDollar/2020/2020.03,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recqzvWk7ZS4FM4Ji,DELETE,genre:teaching series,Corco+,Duplicated
"Changing Your World with Creflo Dollar :: 3 :: March 29, 2020: How to Take Posession of Your Healing - Part 1a",Episode,,"March 29, 2020: How to Take Posession of Your Healing - Part 1a","Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:31,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-03-29 00:00,,,,CDM_CW0320_29,CrefloDollar/2020/2020.03,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recw27CPO1w16k62C,DELETE,"topic:healing,genre:teaching series",Corco+,Duplicated
"Changing Your World with Creflo Dollar :: 3 :: April 20, 2020: Never Go Back - Part 1b",Episode,,"April 20, 2020: Never Go Back - Part 1b","Ensuring that we come out of every bad situation with some godly wisdom we didn’t have before prevents us from making the same mistake again. We succeed when we trust and believe God, and put our relationship with Him above all else..",1_FREE,,,28:31,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-04-20 00:00,,,,CDM_CD0420_20,CrefloDollar/2020/2020.04,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recpzgZVo45vK2bSd,DELETE,"topic:encouragement,genre:teaching series",Corco+,Duplicated
"Changing Your World with Creflo Dollar :: 3 :: July 5, 2020: Mastering Your Emotions With Peace - Part 1a",Episode,,"July 5, 2020: Mastering Your Emotions With Peace - Part 1a","Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:34,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-07-05 00:00,,,,CDM_CW0720_05,CrefloDollar/2020/2020.07,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recGHTDHifDybhOLV,DELETE,"topic:peace,genre:teaching series",Corco+,Duplicated
"Changing Your World with Creflo Dollar :: 3 :: July 12, 2020: Mastering Your Emotions With Peace - Part 1b",Episode,,"July 12, 2020: Mastering Your Emotions With Peace - Part 1b","Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:31,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-07-12 00:00,,,,CDM_CW0720_12,CrefloDollar/2020/2020.07,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,rec3ZskpTAcZBwgmN,DELETE,"topic:peace,genre:teaching series",Corco+,Duplicated
"Changing Your World with Creflo Dollar :: 3 :: July 19, 2020: Mastering Your Emotions with Peace - Part 2a",Episode,,"July 19, 2020: Mastering Your Emotions with Peace - Part 2a","Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:34,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-07-19 00:00,,,,CDM_CW0720_19,CrefloDollar/2020/2020.07,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recpYbIagUShOy7qs,DELETE,"topic:peace,genre:teaching series",Corco+,Duplicated
"Changing Your World with Creflo Dollar :: 3 :: July 26, 2020: Mastering Your Emotions With Peace - Part 2b",Episode,,"July 26, 2020: Mastering Your Emotions With Peace - Part 2b","Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:32,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-07-26 00:00,,,,CDM_CW0720_26,CrefloDollar/2020/2020.07,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recZdKDLjdz4z0NdZ,DELETE,"topic:peace,genre:teaching series",Corco+,Duplicated
"Changing Your World with Creflo Dollar :: 3 :: August 3, 2020: Taking Authority Over Your Emotions - Part 1a",Episode,,"August 3, 2020: Taking Authority Over Your Emotions - Part 1a","Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:31,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-08-03 00:00,,,,CDM_CD0820_03,CrefloDollar/2020/2020.08,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recckqVqnIhIdogqL,DELETE,"topic:practical wisdom,genre:teaching series",Corco+,Duplicated
"Changing Your World with Creflo Dollar :: 3 :: August 4, 2020: Taking Authority Over Your Emotions - Part 1b",Episode,,"August 4, 2020: Taking Authority Over Your Emotions - Part 1b","Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:31,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-08-04 00:00,,,,CDM_CD0820_04,CrefloDollar/2020/2020.08,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recl4JfWFJh3BJg6d,DELETE,"topic:practical wisdom,genre:teaching series",Corco+,Duplicated
"Changing Your World with Creflo Dollar :: 3 :: August 2, 2020: How to Win Over Depression - Part 1",Episode,,"August 2, 2020: How to Win Over Depression - Part 1","Join the dynamic leadership and teaching of Dr. Creflo and Taffi Dollar on the Changing Your World program. This cutting-edge media ministry is committed to stretching its global reach with programming that ministers to people from all walks of life, so they are empowered to change their circumstances and their lives.",1_FREE,,,28:31,1080,Changing Your World with Creflo Dollar :: 3,,,,2020-08-02 00:00,,,,CDM_CW0820_02,CrefloDollar/2020/2020.08,,,https://images.corcoplus.com/TvShows/CrefloDollar/CrefloDollar_648x364.jpg,,,,,Creflo Dollar,,,,,,,,recN1QUT6UBBCn6CL,DELETE,"topic:mental health,genre:teaching series",Corco+,Duplicated
